Date,AAPL,DX-Y.NYB,HSI,QQQ,XLE,XLF,XLK,XLP,XLU,XLV,^FTSE
2012-07-06,18.416982650756836,83.29000091552734,19800.599609375,57.933170318603516,44.71675491333008,9.571687698364258,24.48893165588379,26.266185760498047,25.54442024230957,31.53946304321289,5662.60009765625
2012-07-09,18.660463333129883,83.16000366210938,19428.099609375,57.82476043701172,44.514400482177734,9.558459281921387,24.437715530395508,26.236129760742188,25.461191177368164,31.707101821899414,5627.2998046875
2012-07-10,18.487810134887695,83.36000061035156,19396.400390625,57.25554656982422,43.81959533691406,9.485692977905273,24.16457748413086,26.266185760498047,25.502803802490234,31.556228637695312,5664.10009765625
2012-07-11,18.372909545898438,83.56999969482422,7900.0,56.939292907714844,44.413204193115234,9.565072059631348,24.053617477416992,26.228622436523438,25.634584426879883,31.531070709228516,5664.5
2012-07-12,18.204814910888672,83.6500015258789,7900.0,56.4062385559082,44.26478958129883,9.465849876403809,23.814611434936523,26.25115394592285,25.66926383972168,31.60650634765625,5608.2998046875
2012-07-13,18.38932228088379,83.30000305175781,19092.599609375,57.26458740234375,45.0405387878418,9.730446815490723,24.130434036254883,26.544172286987305,25.898143768310547,31.958534240722656,5666.10009765625
2012-07-16,18.44829750061035,83.08999633789062,19121.30078125,57.10194778442383,45.188961029052734,9.710600852966309,24.104827880859375,26.408931732177734,25.884275436401367,32.017215728759766,5662.39990234375
2012-07-17,18.449201583862305,83.02999877929688,19455.30078125,57.40010070800781,45.755577087402344,9.763519287109375,24.19872283935547,26.52161979675293,25.939762115478516,32.427894592285156,5629.10009765625
2012-07-18,18.428537368774414,82.94999694824219,19239.900390625,58.17711639404297,46.1535758972168,9.717215538024902,24.616975784301758,26.529142379760742,26.022987365722656,32.47817611694336,5685.7998046875
2012-07-19,18.673538208007812,82.9000015258789,7700.0,58.818607330322266,46.29523849487305,9.657682418823242,24.83036231994629,26.491573333740234,26.07154083251953,32.47817611694336,5714.2001953125
2012-07-20,18.368955612182617,83.47000122070312,7900.0,58.041595458984375,46.403167724609375,9.512155532836914,24.54868507385254,26.326292037963867,26.12702178955078,32.05910873413086,5651.7998046875
2012-07-23,18.354673385620117,83.70999908447266,19053.5,57.336856842041016,45.95795440673828,9.43277359008789,24.30968475341797,26.10089683532715,25.95362663269043,31.68194007873535,5533.89990234375
2012-07-24,18.26622200012207,84.01000213623047,7800.0,56.88508605957031,45.222679138183594,9.406318664550781,24.062152862548828,26.018253326416016,25.72475242614746,31.32992935180664,5499.2001953125
2012-07-25,17.4774112701416,83.5199966430664,18877.30078125,56.505615234375,45.256404876708984,9.439393043518066,23.968257904052734,26.0257568359375,25.71088409423828,31.48080062866211,5498.2998046875
2012-07-26,17.47467613220215,82.80999755859375,18892.80078125,57.25554656982422,46.544822692871094,9.584918975830078,24.335290908813477,26.454008102416992,26.1131649017334,31.782520294189453,5573.2001953125
